state,municipality,total_fleet,CARRO,MOTO,PESADO,IMPLEMENTO,NAO_CLASSIFICADO,OUTRO
GOIAS,MORRO AGUDO DE GOIAS,1792,984,652,92,63,1,0
GOIAS,MOSSAMEDES,2935,1832,857,84,158,4,0
GOIAS,MOZARLANDIA,12075,5643,5094,423,898,17,0
GOIAS,MUNDO NOVO,3565,1906,1140,144,371,4,0
GOIAS,MUTUNOPOLIS,2464,1118,1142,92,108,4,0
GOIAS,NAZARIO,5083,2911,1409,322,420,21,0
GOIAS,NEROPOLIS,22736,13148,7171,959,1422,36,0
GOIAS,NIQUELANDIA,27242,15910,8265,1263,1766,38,0
GOIAS,NOVA AMERICA,1727,1043,544,54,79,7,0
GOIAS,NOVA AURORA,1551,886,512,81,68,4,0
GOIAS,NOVA CRIXAS,8530,4167,3083,404,861,15,0
GOIAS,NOVA GLORIA,5664,3002,2017,255,379,11,0
GOIAS,NOVA IGUACU DE GOIAS,1562,838,547,74,103,0,0
GOIAS,NOVA ROMA,1112,688,350,42,32,0,0
GOIAS,NOVA VENEZA,6212,3596,1894,314,394,14,0
GOIAS,NOVO BRASIL,2509,1276,1025,72,132,4,0
GOIAS,NOVO GAMA,27548,12520,4793,1509,8711,15,0
GOIAS,NOVO PLANALTO,2235,1132,826,106,170,1,0
GOIAS,ORIZONA,12678,7888,3539,633,595,23,0
GOIAS,OURO VERDE DE GOIAS,2410,1602,538,169,87,14,0
GOIAS,OUVIDOR,4460,3106,893,188,260,13,0
GOIAS,PADRE BERNARDO,9306,5883,1927,717,768,11,0
GOIAS,PALESTINA DE GOIAS,1698,892,633,63,108,2,0
GOIAS,PALMEIRAS DE GOIAS,23732,12440,8222,1123,1911,36,0
GOIAS,PALMELO,1401,855,404,62,74,6,0
GOIAS,PALMINOPOLIS,3052,1627,1077,120,213,15,0
GOIAS,PANAMA,1575,900,388,174,111,2,0
GOIAS,PARANAIGUARA,6128,4013,1357,263,483,12,0
GOIAS,PARAUNA,9927,5216,3253,565,883,10,0
GOIAS,PEROLANDIA,1910,1068,291,211,340,0,0
GOIAS,PETROLINA DE GOIAS,6015,3770,1624,314,282,25,0
GOIAS,PILAR DE GOIAS,1015,668,255,54,29,9,0
GOIAS,PIRACANJUBA,21382,11908,6865,1037,1512,60,0
GOIAS,PIRANHAS,9100,4620,3166,451,844,19,0
GOIAS,PIRENOPOLIS,17695,10399,6039,568,631,58,0
GOIAS,PIRES DO RIO,28713,16717,9126,1270,1514,86,0
GOIAS,PLANALTINA,29835,16113,7751,1472,4450,49,0
GOIAS,PONTALINA,14881,8135,5378,630,689,49,0
GOIAS,PORANGATU,44922,20092,20456,1495,2819,60,0
GOIAS,PORTEIRAO,2590,1523,551,240,270,6,0
GOIAS,PORTELANDIA,2020,1136,492,197,193,2,0
GOIAS,POSSE,25648,14715,7616,1662,1628,27,0
GOIAS,PROFESSOR JAMIL,1730,1120,442,80,80,8,0
GOIAS,QUIRINOPOLIS,44740,23470,15427,2074,3674,95,0
GOIAS,RIALMA,10643,5603,3932,529,545,34,0
GOIAS,RIANAPOLIS,3656,1968,1215,185,280,8,0
GOIAS,RIO QUENTE,2641,1557,806,154,118,6,0
GOIAS,RIO VERDE,203605,109782,67266,11517,14704,336,0
GOIAS,RUBIATABA,17291,9259,5932,794,1250,56,0
GOIAS,SANCLERLANDIA,7165,4056,2363,206,529,11,0
GOIAS,SANTA BARBARA DE GOIAS,4010,2390,1059,241,310,10,0
GOIAS,SANTA CRUZ DE GOIAS,1120,824,223,33,37,3,0
GOIAS,SANTA FE DE GOIAS,3319,1504,1374,155,286,0,0
GOIAS,SANTA HELENA DE GOIAS,34104,19346,9636,2332,2706,84,0
GOIAS,SANTA ISABEL,1788,957,715,47,68,1,0
GOIAS,SANTA RITA DO ARAGUAIA,4796,2251,2035,192,308,10,0
GOIAS,SANTA RITA DO NOVO DESTINO,865,514,211,82,56,2,0
GOIAS,SANTA ROSA DE GOIAS,2135,1326,586,82,138,3,0
GOIAS,SANTA TEREZA DE GOIAS,2382,1157,936,70,213,6,0
GOIAS,SANTA TEREZINHA DE GOIAS,6672,3285,2846,209,318,14,0
GOIAS,SANTO ANTONIO DA BARRA,1981,1181,541,137,117,5,0
GOIAS,SANTO ANTONIO DE GOIAS,4586,2858,1103,227,392,6,0
GOIAS,SANTO ANTONIO DO DESCOBERTO,15143,7386,5504,680,1557,16,0
GOIAS,SAO DOMINGOS,3322,1594,1491,137,100,0,0
GOIAS,SAO FRANCISCO DE GOIAS,3610,2097,1159,144,202,8,0
GOIAS,SAO JOAO D'ALIANCA,4708,2880,895,389,539,5,0
GOIAS,SAO JOAO DA PARAUNA,1391,764,455,61,106,5,0
GOIAS,SAO LUIS DE MONTES BELOS,32278,17722,11262,982,2236,76,0
GOIAS,SAO LUIZ DO NORTE,2700,1496,908,144,147,5,0
GOIAS,SAO MIGUEL DO ARAGUAIA,19694,10133,6907,806,1819,29,0
GOIAS,SAO MIGUEL DO PASSA QUATRO,2368,1425,720,111,107,5,0
GOIAS,SAO PATRICIO,1224,661,449,43,71,0,0
GOIAS,SAO SIMAO,12574,6885,4069,573,1040,7,0
GOIAS,SENADOR CANEDO,92585,51152,33169,2774,5436,54,0
GOIAS,SERRANOPOLIS,4455,2684,937,331,490,13,0
GOIAS,SILVANIA,16671,9828,4554,1079,1170,40,0
GOIAS,SIMOLANDIA,3805,2175,1126,247,256,1,0
GOIAS,SITIO D'ABADIA,747,451,230,39,26,1,0
GOIAS,TAQUARAL DE GOIAS,2569,1567,789,69,137,7,0
GOIAS,TERESINA DE GOIAS,884,578,227,35,43,1,0
GOIAS,TEREZOPOLIS DE GOIAS,4251,2537,1098,288,324,4,0
GOIAS,TRES RANCHOS,1896,1218,450,74,150,4,0
GOIAS,TRINDADE,97012,53170,35183,2756,5790,113,0
GOIAS,TROMBAS,2042,877,1010,68,84,3,0
GOIAS,TURVANIA,3453,1915,1005,170,352,11,0
GOIAS,TURVELANDIA,2419,1428,421,263,305,2,0
GOIAS,UIRAPURU,1417,842,437,49,88,1,0
GOIAS,URUACU,39785,19141,14573,1702,4303,66,0
GOIAS,URUANA,11273,6185,3933,436,686,33,0
GOIAS,URUTAI,1906,1222,547,53,80,4,0
GOIAS,VALPARAISO DE GOIAS,45111,26034,10377,1507,7126,67,0
GOIAS,VARJAO,2792,1577,959,111,135,10,0
GOIAS,VIANOPOLIS,13513,8420,2736,1156,1174,27,0
GOIAS,VICENTINOPOLIS,6833,3356,1910,664,893,10,0
GOIAS,VILA BOA,1151,639,331,117,64,0,0
GOIAS,VILA PROPICIO,1684,1047,354,167,115,1,0
MARANHAO,ACAILANDIA,60823,21061,34370,3161,2218,13,0
MARANHAO,AFONSO CUNHA,961,184,743,32,2,0,0
MARANHAO,AGUA DOCE DO MARANHAO,977,225,712,35,5,0,0
MARANHAO,ALCANTARA,2912,842,1907,159,4,0,0
MARANHAO,ALDEIAS ALTAS,4178,823,3195,104,56,0,0
MARANHAO,ALTAMIRA DO MARANHAO,1987,432,1511,37,7,0,0
MARANHAO,ALTO ALEGRE DO MARANHAO,6004,1528,4213,172,91,0,0
MARANHAO,ALTO ALEGRE DO PINDARE,5718,1061,4548,92,17,0,0
MARANHAO,ALTO PARNAIBA,3543,867,2407,164,105,0,0
MARANHAO,AMAPA DO MARANHAO,1407,325,930,128,24,0,0
MARANHAO,AMARANTE DO MARANHAO,11253,2098,8890,197,68,0,0
MARANHAO,ANAJATUBA,5891,1269,4485,103,33,1,0
MARANHAO,ANAPURUS,3059,1157,1637,159,106,0,0
MARANHAO,APICUM-ACU,2012,513,1454,38,7,0,0
MARANHAO,ARAGUANA,2059,574,1425,41,18,1,0
MARANHAO,ARAIOSES,2501,306,1913,69,213,0,0
MARANHAO,ARAME,7802,1334,6247,169,52,0,0
MARANHAO,ARARI,9682,1949,7536,151,46,0,0
MARANHAO,AXIXA,3226,722,2420,72,12,0,0
MARANHAO,BACABAL,52858,12797,37253,1979,802,27,0
MARANHAO,BACABEIRA,5229,2006,2630,409,183,1,0
MARANHAO,BACURI,1734,478,1215,41,0,0,0
MARANHAO,BACURITUBA,995,122,854,19,0,0,0
MARANHAO,BALSAS,86257,26893,48966,4762,5618,18,0
MARANHAO,BARAO DE GRAJAU,3252,741,2228,136,146,1,0
MARANHAO,BARRA DO CORDA,45310,10088,33463,1166,590,3,0
MARANHAO,BARREIRINHAS,14714,4587,9802,221,103,1,0
MARANHAO,BELA VISTA DO MARANHAO,3982,1070,2757,96,58,1,0
MARANHAO,BELAGUA,663,242,404,16,1,0,0
MARANHAO,BENEDITO LEITE,419,150,242,18,9,0,0
MARANHAO,BEQUIMAO,4332,956,3181,173,22,0,0
MARANHAO,BERNARDO DO MEARIM,2371,354,1931,64,22,0,0
MARANHAO,BOA VISTA DO GURUPI,983,310,634,29,10,0,0
MARANHAO,BOM JARDIM,10075,1841,7731,340,160,3,0
MARANHAO,BOM JESUS DAS SELVAS,7610,1602,5691,237,79,1,0
MARANHAO,BOM LUGAR,3536,797,2651,74,14,0,0
MARANHAO,BREJO,4898,1704,2874,199,120,1,0
MARANHAO,BREJO DE AREIA,2392,273,2062,51,6,0,0
MARANHAO,BURITI,4752,882,3750,94,26,0,0
MARANHAO,BURITI BRAVO,5044,1072,3840,112,20,0,0
MARANHAO,BURITICUPU,25544,5288,19146,765,344,1,0
MARANHAO,BURITIRANA,3635,836,2716,54,29,0,0
MARANHAO,CACHOEIRA GRANDE,1241,351,863,26,1,0,0
MARANHAO,CAJAPIO,1579,270,1287,20,1,1,0
MARANHAO,CAJARI,2370,482,1851,27,10,0,0
MARANHAO,CAMPESTRE DO MARANHAO,4603,1431,2785,147,240,0,0
MARANHAO,CANDIDO MENDES,2085,344,1697,41,3,0,0
MARANHAO,CANTANHEDE,3066,788,2209,56,13,0,0
MARANHAO,CAPINZAL DO NORTE,3527,750,2667,80,28,2,0
MARANHAO,CAROLINA,10449,3327,6646,232,243,1,0
MARANHAO,CARUTAPERA,3639,674,2840,95,30,0,0
MARANHAO,CAXIAS,69959,18047,49561,1576,753,22,0
MARANHAO,CEDRAL,1671,389,1249,30,3,0,0
MARANHAO,CENTRAL DO MARANHAO,966,274,663,28,1,0,0
MARANHAO,CENTRO DO GUILHERME,2128,477,1587,48,16,0,0
MARANHAO,CENTRO NOVO DO MARANHAO,3195,898,2193,91,13,0,0
MARANHAO,CHAPADINHA,30991,7479,22624,656,222,10,0
MARANHAO,CIDELANDIA,4685,1239,3204,129,113,0,0
MARANHAO,CODO,45553,7100,36844,1152,452,5,0
MARANHAO,COELHO NETO,13821,2120,11409,236,52,4,0
MARANHAO,COLINAS,13366,2902,9782,455,225,2,0
MARANHAO,CONCEICAO DO LAGO-ACU,1964,482,1434,38,10,0,0
MARANHAO,COROATA,14652,3298,10829,430,93,2,0
MARANHAO,CURURUPU,5013,1014,3909,84,6,0,0
MARANHAO,DAVINOPOLIS,4835,1385,3182,167,101,0,0
MARANHAO,DOM PEDRO,11604,2865,8025,529,185,0,0
MARANHAO,DUQUE BACELAR,1368,318,1024,26,0,0,0
MARANHAO,ESPERANTINOPOLIS,7614,995,6456,140,23,0,0
MARANHAO,ESTREITO,18812,5261,12175,677,699,0,0
MARANHAO,FEIRA NOVA DO MARANHAO,2143,631,1439,53,20,0,0
MARANHAO,FERNANDO FALCAO,1656,423,1171,42,20,0,0
MARANHAO,FORMOSA DA SERRA NEGRA,6088,1615,4288,118,67,0,0
MARANHAO,FORTALEZA DOS NOGUEIRAS,5970,1651,4024,222,73,0,0
MARANHAO,FORTUNA,4240,1064,3065,89,22,0,0
MARANHAO,GODOFREDO VIANA,1577,355,1168,49,5,0,0
MARANHAO,GONCALVES DIAS,4407,1119,3079,169,39,1,0
MARANHAO,GOVERNADOR ARCHER,2391,548,1770,64,9,0,0
MARANHAO,GOVERNADOR EDISON LOBAO,5662,2087,3087,298,190,0,0
MARANHAO,GOVERNADOR EUGENIO BARROS,3412,1010,2252,130,20,0,0
MARANHAO,GOVERNADOR LUIZ ROCHA,1736,577,1094,48,17,0,0
MARANHAO,GOVERNADOR NEWTON BELLO,2528,481,1994,34,18,1,0
MARANHAO,GOVERNADOR NUNES FREIRE,5942,1684,4025,171,62,0,0
MARANHAO,GRACA ARANHA,2001,581,1359,49,11,1,0
MARANHAO,GRAJAU,30899,8271,20579,1244,803,2,0
MARANHAO,GUIMARAES,1517,437,1029,47,3,1,0
MARANHAO,HUMBERTO DE CAMPOS,2381,857,1450,55,19,0,0
MARANHAO,ICATU,2601,710,1800,71,20,0,0
MARANHAO,IGARAPE DO MEIO,3944,956,2850,99,39,0,0
MARANHAO,IGARAPE GRANDE,3927,576,3212,115,24,0,0
MARANHAO,IMPERATRIZ,208940,83054,108663,7272,9871,80,0
MARANHAO,ITAIPAVA DO GRAJAU,2185,524,1580,67,14,0,0
MARANHAO,ITAPECURU MIRIM,20741,5327,14524,678,203,9,0
MARANHAO,ITINGA DO MARANHAO,12299,2722,8676,394,506,1,0
MARANHAO,JATOBA,1318,418,859,38,3,0,0
MARANHAO,JENIPAPO DOS VIEIRAS,2866,674,2066,108,18,0,0
MARANHAO,JOAO LISBOA,9743,2949,6435,214,145,0,0
MARANHAO,JOSELANDIA,5343,824,4289,171,58,1,0
MARANHAO,JUNCO DO MARANHAO,1175,337,792,36,10,0,0
MARANHAO,LAGO DA PEDRA,23227,3759,18816,496,155,1,0
MARANHAO,LAGO DO JUNCO,2406,454,1884,46,21,1,0
MARANHAO,LAGO DOS RODRIGUES,5071,700,4236,87,48,0,0
MARANHAO,LAGO VERDE,3699,827,2803,50,17,2,0
MARANHAO,LAGOA DO MATO,2666,452,2158,51,5,0,0
MARANHAO,LAGOA GRANDE DO MARANHAO,2912,529,2303,67,13,0,0
MARANHAO,LAJEADO NOVO,2323,688,1525,60,50,0,0
MARANHAO,LIMA CAMPOS,5036,920,3837,189,89,1,0
MARANHAO,LORETO,2608,663,1784,82,79,0,0
MARANHAO,LUIS DOMINGUES,1159,225,912,18,4,0,0
MARANHAO,MAGALHAES DE ALMEIDA,1351,280,1026,37,8,0,0
MARANHAO,MARACACUME,6186,1459,4475,194,58,0,0
MARANHAO,MARAJA DO SENA,1307,168,1106,25,8,0,0
MARANHAO,MARANHAOZINHO,2429,681,1611,102,35,0,0
MARANHAO,MATA ROMA,3456,1200,2136,106,13,1,0
MARANHAO,MATINHA,5663,1114,4408,121,19,1,0
MARANHAO,MATOES,4407,976,3288,113,30,0,0
MARANHAO,MATOES DO NORTE,1119,411,646,42,20,0,0
MARANHAO,MILAGRES DO MARANHAO,535,224,277,31,3,0,0
MARANHAO,MIRADOR,3424,1001,2263,111,49,0,0
MARANHAO,MIRANDA DO NORTE,5085,1903,2894,223,61,4,0
MARANHAO,MIRINZAL,3440,841,2498,90,11,0,0
MARANHAO,MONCAO,4050,781,3154,82,33,0,0
MARANHAO,MONTES ALTOS,2632,789,1749,62,32,0,0
MARANHAO,MORROS,3659,971,2595,68,25,0,0
MARANHAO,NINA RODRIGUES,1483,391,1014,66,12,0,0
MARANHAO,NOVA COLINAS,1510,442,993,55,20,0,0
MARANHAO,NOVA IORQUE,821,249,539,19,14,0,0
MARANHAO,NOVA OLINDA DO MARANHAO,3685,959,2574,118,34,0,0
MARANHAO,OLHO D'AGUA DAS CUNHAS,7150,1433,5483,129,103,2,0
MARANHAO,OLINDA NOVA DO MARANHAO,2420,617,1730,64,9,0,0
MARANHAO,PACO DO LUMIAR,45793,22739,21462,1221,363,8,0
MARANHAO,PALMEIRANDIA,3447,729,2661,49,8,0,0
MARANHAO,PARAIBANO,7569,1369,5984,165,51,0,0
MARANHAO,PARNARAMA,4444,1160,3086,170,28,0,0
MARANHAO,PASSAGEM FRANCA,4760,919,3716,91,34,0,0
MARANHAO,PASTOS BONS,6407,1605,4332,271,198,1,0
MARANHAO,PAULINO NEVES,1291,622,616,35,18,0,0
MARANHAO,PAULO RAMOS,7156,1170,5819,125,42,0,0
MARANHAO,PEDREIRAS,25165,4893,18897,760,611,4,0
MARANHAO,PEDRO DO ROSARIO,4036,651,3323,55,7,0,0
MARANHAO,PENALVA,4871,925,3863,69,14,0,0
MARANHAO,PERI MIRIM,2780,580,2125,65,9,1,0
MARANHAO,PERITORO,7159,1402,5403,233,120,1,0
MARANHAO,PINDARE MIRIM,9688,2311,7074,205,95,3,0
MARANHAO,PINHEIRO,36218,8718,26377,880,229,14,0
MARANHAO,PIO XII,8274,1821,6202,169,76,6,0
MARANHAO,PIRAPEMAS,2130,563,1518,42,7,0,0
MARANHAO,POCAO DE PEDRAS,6938,904,5915,99,20,0,0
MARANHAO,PORTO FRANCO,10262,3407,6096,330,428,1,0
MARANHAO,PORTO RICO DO MARANHAO,968,222,730,15,1,0,0
MARANHAO,PRESIDENTE DUTRA,25836,7391,17114,911,415,5,0
MARANHAO,PRESIDENTE JUSCELINO,1600,498,1056,36,10,0,0
MARANHAO,PRESIDENTE MEDICI,1442,363,1035,38,5,1,0
MARANHAO,PRESIDENTE SARNEY,3622,511,3070,41,0,0,0
MARANHAO,PRESIDENTE VARGAS,1877,522,1308,44,3,0,0
MARANHAO,PRIMEIRA CRUZ,602,243,343,12,4,0,0
MARANHAO,RAPOSA,9505,3436,5719,276,74,0,0
MARANHAO,RIACHAO,7629,2026,5132,288,180,3,0
MARANHAO,RIBAMAR FIQUENE,2124,715,1261,67,81,0,0
MARANHAO,ROSARIO,10675,3150,7048,384,89,4,0
MARANHAO,SAMBAIBA,1865,347,854,194,470,0,0
MARANHAO,SANTA FILOMENA DO MARANHAO,1767,525,1208,28,6,0,0
MARANHAO,SANTA HELENA,8013,1995,5787,193,38,0,0
MARANHAO,SANTA INES,47783,14493,31040,1391,839,20,0
MARANHAO,SANTA LUZIA,20187,4141,15422,491,128,5,0
MARANHAO,SANTA LUZIA DO PARUA,8184,2080,5850,187,67,0,0
MARANHAO,SANTA QUITERIA DO MARANHAO,3704,1212,2392,90,10,0,0
MARANHAO,SANTA RITA,12061,3174,8495,297,92,3,0
MARANHAO,SANTANA DO MARANHAO,767,255,476,32,4,0,0
MARANHAO,SANTO AMARO DO MARANHAO,1491,848,605,32,6,0,0
MARANHAO,SANTO ANTONIO DOS LOPES,5724,1243,4118,294,68,1,0
MARANHAO,SAO BENEDITO DO RIO PRETO,2374,889,1421,55,9,0,0
MARANHAO,SAO BENTO,9645,2097,7253,262,33,0,0
MARANHAO,SAO BERNARDO,4281,1113,2966,159,43,0,0
MARANHAO,SAO DOMINGOS DO AZEITAO,2418,569,1137,244,468,0,0
MARANHAO,SAO DOMINGOS DO MARANHAO,13704,4007,8751,529,415,2,0
MARANHAO,SAO FELIX DE BALSAS,578,229,316,20,13,0,0
MARANHAO,SAO FRANCISCO DO BREJAO,2682,812,1717,96,57,0,0
MARANHAO,SAO FRANCISCO DO MARANHAO,660,200,401,32,26,1,0
MARANHAO,SAO JOAO BATISTA,3860,671,3104,66,19,0,0
MARANHAO,SAO JOAO DO CARU,2345,351,1944,42,8,0,0
MARANHAO,SAO JOAO DO PARAISO,3732,1139,2428,105,60,0,0
MARANHAO,SAO JOAO DO SOTER,2740,619,2024,83,14,0,0
MARANHAO,SAO JOAO DOS PATOS,14228,3143,10605,321,157,2,0
MARANHAO,SAO JOSE DE RIBAMAR,73354,35337,35471,1928,607,11,0
MARANHAO,SAO JOSE DOS BASILIOS,1919,471,1414,29,5,0,0
MARANHAO,SAO LUIS,531809,316704,182165,22727,9556,657,0
MARANHAO,SAO LUIS GONZAGA DO MARANHAO,4803,1020,3698,69,16,0,0
MARANHAO,SAO MATEUS DO MARANHAO,13560,3140,9876,334,210,0,0
MARANHAO,SAO PEDRO DA AGUA BRANCA,3228,663,2473,57,35,0,0
MARANHAO,SAO PEDRO DOS CRENTES,1675,506,1063,86,20,0,0
MARANHAO,SAO RAIMUNDO DAS MANGABEIRAS,7529,2159,4794,358,216,2,0
MARANHAO,SAO RAIMUNDO DO DOCA BEZERRA,1349,240,1057,48,4,0,0
MARANHAO,SAO ROBERTO,1749,215,1497,35,2,0,0
MARANHAO,SAO VICENTE FERRER,3475,684,2708,65,17,1,0
MARANHAO,SATUBINHA,1778,440,1279,39,20,0,0
MARANHAO,SENADOR ALEXANDRE COSTA,2109,546,1486,57,20,0,0
MARANHAO,SENADOR LA ROCQUE,7113,1598,5332,117,66,0,0
MARANHAO,SERRANO DO MARANHAO,762,169,575,17,1,0,0
MARANHAO,SITIO NOVO,5477,1473,3807,145,51,1,0
MARANHAO,SUCUPIRA DO NORTE,2082,542,1463,67,10,0,0
MARANHAO,SUCUPIRA DO RIACHAO,1305,269,974,35,27,0,0
MARANHAO,TASSO FRAGOSO,3063,757,2030,169,107,0,0
MARANHAO,TIMBIRAS,5078,876,4090,94,18,0,0
MARANHAO,TIMON,68201,16438,49436,1393,912,22,0
MARANHAO,TRIZIDELA DO VALE,11842,1844,9323,355,319,1,0
MARANHAO,TUFILANDIA,1335,372,936,22,5,0,0
MARANHAO,TUNTUM,11391,2650,8424,248,69,0,0
MARANHAO,TURIACU,4843,964,3790,75,14,0,0
MARANHAO,TURILANDIA,3438,797,2597,37,7,0,0
MARANHAO,TUTOIA,6961,1878,4785,211,87,0,0
MARANHAO,URBANO SANTOS,4824,1651,2939,186,47,1,0
MARANHAO,VARGEM GRANDE,9551,2360,6895,246,49,1,0
MARANHAO,VIANA,16056,3087,12577,287,104,1,0
MARANHAO,VILA NOVA DOS MARTIRIOS,2904,816,1952,73,63,0,0
MARANHAO,VITORIA DO MEARIM,7825,2296,5263,195,64,7,0
MARANHAO,VITORINO FREIRE,13314,2409,10593,230,81,1,0
MARANHAO,ZE DOCA,20105,4012,15466,462,161,4,0
MATO GROSSO,ACORIZAL,2028,1140,777,56,55,0,0
MATO GROSSO,AGUA BOA,26043,11643,9861,1974,2555,10,0
MATO GROSSO,ALTA FLORESTA,62194,25954,31550,2919,1754,17,0
MATO GROSSO,ALTO ARAGUAIA,11155,5911,4187,572,483,2,0
MATO GROSSO,ALTO BOA VISTA,3516,1349,1777,204,186,0,0
MATO GROSSO,ALTO GARCAS,9354,4540,2774,950,1082,8,0
MATO GROSSO,ALTO PARAGUAI,3183,1367,1678,100,35,3,0
MATO GROSSO,ALTO TAQUARI,6513,3695,1674,602,539,3,0
MATO GROSSO,APIACAS,6266,2082,3655,345,182,2,0
MATO GROSSO,ARAGUAIANA,1514,751,593,74,96,0,0
MATO GROSSO,ARAGUAINHA,324,196,91,23,14,0,0
MATO GROSSO,ARAPUTANGA,13398,5557,6973,511,350,7,0
MATO GROSSO,ARENAPOLIS,8754,3908,3949,502,390,5,0
MATO GROSSO,ARIPUANA,18231,6700,10132,987,412,0,0
MATO GROSSO,BARAO DE MELGACO,1343,678,570,48,47,0,0
MATO GROSSO,BARRA DO BUGRES,22344,9192,10602,1351,1173,26,0
MATO GROSSO,BARRA DO GARCAS,64551,27891,30325,2642,3664,29,0
MATO GROSSO,BOA ESPERANCA DO NORTE,583,360,101,49,73,0,0
MATO GROSSO,BOM JESUS DO ARAGUAIA,5219,2289,2261,344,325,0,0
MATO GROSSO,BRASNORTE,11933,5305,4594,1066,963,5,0
MATO GROSSO,CACERES,66131,28303,32564,2570,2669,25,0
MATO GROSSO,CAMPINAPOLIS,6652,2762,3329,315,243,3,0
MATO GROSSO,CAMPO NOVO DO PARECIS,38314,18585,12855,3164,3692,18,0
MATO GROSSO,CAMPO VERDE,40368,19958,12912,3446,4043,9,0
MATO GROSSO,CAMPOS DE JULIO,6840,2953,2016,957,913,1,0
MATO GROSSO,CANABRAVA DO NORTE,2903,1031,1547,144,181,0,0
MATO GROSSO,CANARANA,20995,10040,7052,1852,2046,5,0
MATO GROSSO,CARLINDA,7708,3427,3714,384,182,1,0
MATO GROSSO,CASTANHEIRA,6599,2447,3656,342,148,6,0
MATO GROSSO,CHAPADA DOS GUIMARAES,12052,7165,3872,518,493,4,0
MATO GROSSO,CLAUDIA,10591,4131,4189,1086,1183,2,0
MATO GROSSO,COCALINHO,2021,1013,771,147,88,2,0
MATO GROSSO,COLIDER,31720,13827,14639,1913,1331,10,0
MATO GROSSO,COLNIZA,19846,6102,12413,986,344,1,0
MATO GROSSO,COMODORO,14772,6355,5485,1659,1272,1,0
MATO GROSSO,CONFRESA,24782,10004,12095,1281,1402,0,0
MATO GROSSO,CONQUISTA D'OESTE,2839,1153,1424,144,118,0,0
MATO GROSSO,COTRIGUACU,7226,2550,4144,412,120,0,0
MATO GROSSO,CUIABA,545291,332291,165677,25072,21931,320,0
MATO GROSSO,CURVELANDIA,3941,1556,1828,290,267,0,0
MATO GROSSO,DENISE,5367,2736,2019,388,222,2,0
MATO GROSSO,DIAMANTINO,20445,8638,7949,1734,2111,13,0
MATO GROSSO,DOM AQUINO,5604,2657,2509,275,162,1,0
MATO GROSSO,FELIZ NATAL,8007,3335,2881,844,947,0,0
MATO GROSSO,FIGUEIROPOLIS D'OESTE,2949,1197,1534,144,72,2,0
MATO GROSSO,GAUCHA DO NORTE,5524,2554,1994,528,448,0,0
MATO GROSSO,GENERAL CARNEIRO,1518,796,496,118,108,0,0
MATO GROSSO,GLORIA D'OESTE,2518,1248,1002,181,87,0,0
MATO GROSSO,GUARANTA DO NORTE,34776,14874,16269,2054,1577,2,0
MATO GROSSO,GUIRATINGA,7795,3981,3108,410,294,2,0
MATO GROSSO,INDIAVAI,1248,546,625,60,17,0,0
MATO GROSSO,IPIRANGA DO NORTE,6523,3167,1917,673,766,0,0
MATO GROSSO,ITANHANGA,5450,2573,1907,488,482,0,0
MATO GROSSO,ITAUBA,4528,2076,1655,355,439,3,0
MATO GROSSO,ITIQUIRA,7464,3638,2628,710,488,0,0
MATO GROSSO,JACIARA,28972,11786,10287,2680,4196,23,0
MATO GROSSO,JANGADA,4036,2022,1655,194,164,1,0
MATO GROSSO,JAURU,7568,3313,3845,265,144,1,0
MATO GROSSO,JUARA,31391,12745,15903,1783,948,12,0
MATO GROSSO,JUINA,42880,16248,22963,2117,1543,9,0
MATO GROSSO,JURUENA,8525,2821,5126,411,167,0,0
MATO GROSSO,JUSCIMEIRA,7293,3467,2698,537,584,7,0
MATO GROSSO,LAMBARI D'OESTE,3346,1479,1521,207,138,1,0
MATO GROSSO,LUCAS DO RIO VERDE,77358,34603,28852,6149,7741,13,0
MATO GROSSO,LUCIARA,923,303,577,24,18,1,0
MATO GROSSO,MARCELANDIA,11033,4332,4928,968,805,0,0
MATO GROSSO,MATUPA,19995,9166,7488,1466,1872,3,0
MATO GROSSO,MIRASSOL D'OESTE,25104,11031,11476,1633,936,28,0
MATO GROSSO,NOBRES,13867,5951,5785,1047,1079,5,0
MATO GROSSO,NORTELANDIA,4237,1876,1971,209,179,2,0
MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,5471,2957,1967,398,147,2,0
MATO GROSSO,NOVA BANDEIRANTES,9569,3410,5291,566,299,3,0
MATO GROSSO,NOVA BRASILANDIA,2745,1482,1079,133,50,1,0
MATO GROSSO,NOVA CANAA DO NORTE,10797,4590,5248,596,359,4,0
MATO GROSSO,NOVA GUARITA,4803,2144,2044,324,291,0,0
MATO GROSSO,NOVA LACERDA,4363,1876,1781,477,229,0,0
MATO GROSSO,NOVA MARILANDIA,2334,1060,1001,162,111,0,0
MATO GROSSO,NOVA MARINGA,4181,1868,1461,409,442,1,0
MATO GROSSO,NOVA MONTE VERDE,6881,2744,3544,391,200,2,0
MATO GROSSO,NOVA MUTUM,48539,22586,18004,3748,4193,8,0
MATO GROSSO,NOVA NAZARE,1016,470,395,61,90,0,0
MATO GROSSO,NOVA OLIMPIA,11682,5030,4684,953,1008,7,0
MATO GROSSO,NOVA SANTA HELENA,3158,1452,1104,306,296,0,0
